Group 76 (omitted pair: (2, 17)): 	[(0, 8, 23),(1, 10, 31),(3, 12, 30),(4, 5, 24),(6, 7, 26),(9, 19, 21),(11, 14, 20),(13, 18, 29),(15, 22, 27),(16, 25, 28)]
Group 77 (omitted pair: (2, 18)): 	[(0, 19, 30),(1, 24, 27),(3, 8, 12),(4, 5, 31),(6, 14, 22),(7, 17, 25),(9, 10, 13),(11, 20, 21),(15, 16, 26),(23, 28, 29)]
Group 78 (omitted pair: (2, 19)): 	[(0, 1, 14),(3, 7, 17),(4, 5, 20),(6, 23, 28),(8, 16, 31),(9, 22, 26),(10, 11, 25),(12, 18, 24),(13, 21, 30),(15, 27, 29)]
Group 79 (omitted pair: (2, 20)): 	[(0, 16, 18),(1, 27, 29),(3, 12, 17),(4, 9, 26),(5, 7, 25),(6, 13, 15),(8, 11, 23),(10, 21, 22),(14, 19, 30),(24, 28, 31)]
Group 80 (omitted pair: (2, 21)): 	[(0, 6, 12),(1, 7, 15),(3, 19, 31),(4, 10, 22),(5, 9, 24),(8, 11, 16),(13, 23, 26),(14, 20, 30),(17, 27, 28),(18, 25, 29)]
Group 81 (omitted pair: (2, 22)): 	[(0, 21, 31),(1, 3, 26),(4, 10, 15),(5, 14, 20),(6, 8, 9),(7, 12, 19),(11, 13, 23),(16, 25, 29),(17, 28, 30),(18, 24, 27)]
Group 82 (omitted pair: (2, 23)): 	[(0, 9, 30),(1, 3, 20),(4, 6, 18),(5, 16, 22),(7, 26, 31),(8, 13, 25),(10, 17, 27),(11, 12, 28),(14, 19, 21),(15, 24, 29)]
Group 83 (omitted pair: (2, 24)): 	[(0, 13, 21),(1, 7, 14),(3, 4, 30),(5, 9, 26),(6, 29, 31),(8, 15, 25),(10, 18, 19),(11, 22, 28),(12, 17, 23),(16, 20, 27)]
Group 84 (omitted pair: (2, 25)): 	[(0, 8, 16),(1, 4, 9),(3, 19, 27),(5, 10, 29),(6, 15, 26),(7, 13, 21),(11, 14, 22),(12, 17, 31),(18, 20, 24),(23, 28, 30)]
Group 85 (omitted pair: (2, 26)): 	[(0, 3, 29),(1, 4, 16),(5, 6, 9),(7, 20, 27),(8, 21, 31),(10, 15, 25),(11, 13, 24),(12, 17, 30),(14, 18, 23),(19, 22, 28)]
Group 86 (omitted pair: (2, 27)): 	[(0, 16, 19),(1, 6, 25),(3, 13, 31),(4, 5, 11),(7, 10, 12),(8, 14, 30),(9, 17, 20),(15, 23, 24),(18, 28, 29),(21, 22, 26)]
Group 87 (omitted pair: (2, 28)): 	[(0, 4, 7),(1, 6, 9),(3, 15, 25),(5, 14, 19),(8, 17, 31),(10, 21, 27),(11, 16, 26),(12, 20, 22),(13, 29, 30),(18, 23, 24)]
Group 88 (omitted pair: (2, 29)): 	[(0, 20, 25),(1, 4, 8),(3, 7, 13),(5, 14, 26),(6, 18, 23),(9, 15, 22),(10, 11, 12),(16, 19, 24),(17, 27, 30),(21, 28, 31)]
Group 89 (omitted pair: (2, 30)): 	[(0, 3, 9),(1, 6, 19),(4, 10, 26),(5, 14, 15),(7, 12, 29),(8, 16, 20),(11, 27, 28),(13, 18, 22),(17, 23, 31),(21, 24, 25)]
Group 90 (omitted pair: (2, 31)): 	[(0, 20, 22),(1, 8, 19),(3, 12, 23),(4, 10, 16),(5, 6, 14),(7, 28, 30),(9, 11, 17),(13, 25, 26),(15, 21, 24),(18, 27, 29)]
Group 91 (omitted pair: (3, 4)): 	[(0, 2, 9),(1, 16, 17),(5, 23, 27),(6, 18, 22),(7, 10, 30),(8, 25, 29),(11, 19, 20),(12, 15, 28),(13, 21, 31),(14, 24, 26)]
Group 92 (omitted pair: (3, 5)): 	[(0, 13, 22),(1, 15, 26),(2, 14, 27),(4, 6, 29),(7, 12, 23),(8, 9, 17),(10, 19, 28),(11, 18, 24),(16, 21, 31),(20, 25, 30)]
Group 93 (omitted pair: (3, 6)): 	[(0, 18, 28),(1, 2, 31),(4, 21, 30),(5, 17, 25),(7, 8, 9),(10, 14, 26),(11, 19, 24),(12, 13, 29),(15, 16, 22),(20, 23, 27)]
Group 94 (omitted pair: (3, 7)): 	[(0, 1, 24),(2, 14, 20),(4, 13, 28),(5, 8, 29),(6, 16, 23),(9, 21, 31),(10, 11, 30),(12, 19, 26),(15, 22, 25),(17, 18, 27)]
Group 95 (omitted pair: (3, 8)): 	[(0, 6, 7),(1, 2, 5),(4, 15, 25),(9, 14, 17),(10, 18, 23),(11, 19, 28),(12, 21, 29),(13, 22, 24),(16, 30, 31),(20, 26, 27)]
Group 96 (omitted pair: (3, 9)): 	[(0, 1, 18),(2, 19, 28),(4, 10, 17),(5, 8, 22),(6, 14, 21),(7, 13, 15),(11, 25, 30),(12, 26, 29),(16, 20, 24),(23, 27, 31)]
Group 97 (omitted pair: (3, 10)): 	[(0, 5, 9),(1, 13, 15),(2, 28, 30),(4, 16, 29),(6, 21, 27),(7, 24, 25),(8, 11, 22),(12, 14, 23),(17, 26, 31),(18, 19, 20)]
Group 98 (omitted pair: (3, 11)): 	[(0, 1, 27),(2, 4, 25),(5, 6, 24),(7, 22, 28),(8, 21, 29),(9, 12, 13),(10, 20, 31),(14, 16, 30),(15, 18, 19),(17, 23, 26)]
Group 99 (omitted pair: (3, 12)): 	[(0, 14, 22),(1, 20, 21),(2, 6, 17),(4, 23, 24),(5, 25, 30),(7, 10, 26),(8, 13, 27),(9, 11, 28),(15, 16, 19),(18, 29, 31)]
Group 100 (omitted pair: (3, 13)): 	[(0, 21, 24),(1, 12, 30),(2, 14, 25),(4, 22, 31),(5, 17, 26),(6, 8, 18),(7, 9, 19),(10, 27, 28),(11, 15, 20),(16, 23, 29)]
Group 101 (omitted pair: (3, 14)): 	[(0, 29, 30),(1, 21, 24),(2, 26, 31),(4, 6, 7),(5, 15, 20),(8, 17, 18),(9, 12, 27),(10, 11, 19),(13, 22, 25),(16, 23, 28)]
Group 102 (omitted pair: (3, 15)): 	[(0, 19, 23),(1, 7, 28),(2, 6, 13),(4, 9, 24),(5, 16, 20),(8, 17, 22),(10, 12, 26),(11, 30, 31),(14, 21, 29),(18, 25, 27)]
Group 103 (omitted pair: (3, 16)): 	[(0, 22, 24),(1, 21, 31),(2, 17, 25),(4, 18, 26),(5, 6, 10),(7, 9, 12),(8, 11, 13),(14, 27, 30),(15, 20, 23),(19, 28, 29)]
Group 104 (omitted pair: (3, 17)): 	[(0, 16, 25),(1, 10, 22),(2, 6, 7),(4, 13, 18),(5, 11, 20),(8, 14, 19),(9, 23, 31),(12, 15, 30),(21, 24, 28),(26, 27, 29)]
Group 105 (omitted pair: (3, 18)): 	[(0, 15, 19),(1, 9, 13),(2, 7, 27),(4, 11, 22),(5, 30, 31),(6, 8, 14),(10, 28, 29),(12, 17, 20),(16, 21, 23),(24, 25, 26)]
Group 106 (omitted pair: (3, 19)): 	[(0, 5, 28),(1, 13, 24),(2, 27, 30),(4, 10, 21),(6, 26, 31),(7, 15, 18),(8, 9, 23),(11, 12, 20),(14, 22, 29),(16, 17, 25)]
Group 107 (omitted pair: (3, 20)): 	[(0, 11, 19),(1, 13, 31),(2, 6, 22),(4, 7, 14),(5, 8, 9),(10, 23, 26),(12, 17, 24),(15, 25, 29),(16, 18, 27),(21, 28, 30)]
Group 108 (omitted pair: (3, 21)): 	[(0, 2, 8),(1, 15, 16),(4, 13, 24),(5, 18, 20),(6, 9, 12),(7, 27, 29),(10, 11, 17),(14, 22, 26),(19, 28, 30),(23, 25, 31)]
Group 109 (omitted pair: (3, 22)): 	[(0, 4, 14),(1, 17, 18),(2, 9, 26),(5, 10, 21),(6, 13, 24),(7, 27, 31),(8, 23, 30),(11, 28, 29),(12, 15, 20),(16, 19, 25)]
